Universidad,Carrera,Cuatrimestre,Periodo,Materia
UP Altamira - Universidad Politécnica,Ing. En Ti E Innovación Digital,6,VI (Estadía TSU),ESTADÍA TSU
UP Altamira - Universidad Politécnica,Ing. En Ti E Innovación Digital,7,Cuatrimestre 7,Formulación de Proyectos de Tecnología
UP Altamira - Universidad Politécnica,Ing. En Ti E Innovación Digital,7,Cuatrimestre 7,Fundamentos de Inteligencia Artificial
UP Altamira - Universidad Politécnica,Ing. En Ti E Innovación Digital,7,Cuatrimestre 7,Habilidades Gerenciales
UP Altamira - Universidad Politécnica,Ing. En Ti E Innovación Digital,7,Cuatrimestre 7,Inglés VI
UP Altamira - Universidad Politécnica,Ing. En Ti E Innovación Digital,7,Cuatrimestre 7,Optativa I
UP Altamira - Universidad Politécnica,Ing. En Ti E Innovación Digital,7,Cuatrimestre 7,Seguridad Informática
UP Altamira - Universidad Politécnica,Ing. En Ti E Innovación Digital,7,Cuatrimestre 7,Ética y Legislación en Tecnologías de la Información
UP Altamira - Universidad Politécnica,Ing. En Ti E Innovación Digital,8,Cuatrimestre 8,Administración de Servidores
UP Altamira - Universidad Politécnica,Ing. En Ti E Innovación Digital,8,Cuatrimestre 8,Electrónica Digital
UP Altamira - Universidad Politécnica,Ing. En Ti E Innovación Digital,8,Cuatrimestre 8,Gestión de Proyectos de Tecnología
UP Altamira - Universidad Politécnica,Ing. En Ti E Innovación Digital,8,Cuatrimestre 8,Informática Forense
UP Altamira - Universidad Politécnica,Ing. En Ti E Innovación Digital,8,Cuatrimestre 8,Inglés VII
UP Altamira - Universidad Politécnica,Ing. En Ti E Innovación Digital,8,Cuatrimestre 8,Optativa II
UP Altamira - Universidad Politécnica,Ing. En Ti E Innovación Digital,8,Cuatrimestre 8,Programación para Inteligencia Artificial
UP Altamira - Universidad Politécnica,Ing. En Ti E Innovación Digital,9,Cuatrimestre 9,Ciencia de Datos
UP Altamira - Universidad Politécnica,Ing. En Ti E Innovación Digital,9,Cuatrimestre 9,Evaluación de Proyectos de Tecnología
UP Altamira - Universidad Politécnica,Ing. En Ti E Innovación Digital,9,Cuatrimestre 9,Inglés VIII
UP Altamira - Universidad Politécnica,Ing. En Ti E Innovación Digital,9,Cuatrimestre 9,Internet de las Cosas
UP Altamira - Universidad Politécnica,Ing. En Ti E Innovación Digital,9,Cuatrimestre 9,Optativa III
UP Altamira - Universidad Politécnica,Ing. En Ti E Innovación Digital,9,Cuatrimestre 9,Proyecto Integrador III
UP Altamira - Universidad Politécnica,Ing. En Ti E Innovación Digital,9,Cuatrimestre 9,Tecnologías Disruptivas
UP Altamira - Universidad Politécnica,Ing. En Ti E Innovación Digital,10,X (Estadía Ingeniería),ESTADÍA LICENCIATURA EN INGENIERÍA EN TECNOLOGÍAS DE LA INFORMACIÓN
UP Altamira - Universidad Politécnica,Ing. Industrial,1,Cuatrimestre 1,Comunicación y Habilidades Digitales
UP Altamira - Universidad Politécnica,Ing. Industrial,1,Cuatrimestre 1,Desarrollo Humano y Valores
UP Altamira - Universidad Politécnica,Ing. Industrial,1,Cuatrimestre 1,Dibujo Industrial
UP Altamira - Universidad Politécnica,Ing. Industrial,1,Cuatrimestre 1,Fundamentos Matemáticos
UP Altamira - Universidad Politécnica,Ing. Industrial,1,Cuatrimestre 1,Inglés I
UP Altamira - Universidad Politécnica,Ing. Industrial,1,Cuatrimestre 1,Metrología
UP Altamira - Universidad Politécnica,Ing. Industrial,1,Cuatrimestre 1,Química
UP Altamira - Universidad Politécnica,Ing. Industrial,2,Cuatrimestre 2,Costos de Producción
UP Altamira - Universidad Politécnica,Ing. Industrial,2,Cuatrimestre 2,Cálculo Diferencial
UP Altamira - Universidad Politécnica,Ing. Industrial,2,Cuatrimestre 2,Física
UP Altamira - Universidad Politécnica,Ing. Industrial,2,Cuatrimestre 2,Habilidades Socioemocionales y Manejo de Conflictos
UP Altamira - Universidad Politécnica,Ing. Industrial,2,Cuatrimestre 2,Inglés II
UP Altamira - Universidad Politécnica,Ing. Industrial,2,Cuatrimestre 2,Probabilidad y Estadística
UP Altamira - Universidad Politécnica,Ing. Industrial,2,Cuatrimestre 2,"Seguridad, Higiene y Medio Ambiente"
UP Altamira - Universidad Politécnica,Ing. Industrial,3,Cuatrimestre 3,Control de Calidad
UP Altamira - Universidad Politécnica,Ing. Industrial,3,Cuatrimestre 3,Cálculo Integral
